Config,Cost,Latency,Score
Sonnet_3 - 0,0.0015975,3.8976999999999995,20.0
Sonnet_3 - 1,0.0051627,9.9102,40.0
Sonnet_3 - 3,0.0175737,18.9872,40.0
Haiku_3 - 0,0.0006455,1.8023,20.0
Haiku_3 - 1,0.0013489,3.0271,40.0
Haiku_3 - 3,0.0040935,6.0713,50.0
Mistral_S - 0,0.0005976999999999999,3.035,0.0
Mistral_S - 1,0.0015692999999999998,6.6377,0.0
Mistral_S - 3,0.005101875,16.588,10.0
Mistral_L - 0,0.0011584,4.9866,0.0
Mistral_L - 1,0.0056284,23.525299999999998,0.0
